Date,PM2.5,PM10,SO2,NO2,CO,O3
2021-4-1,15,23,6,24,0.62,35
2021-4-2,13,18,6,33,0.64,29
2021-4-3,22,30,7,42,0.79,25
2021-4-4,24,44,7,23,0.75,48
2021-4-5,18,55,10,33,0.59,67
2021-4-6,31,78,12,48,0.69,55
2021-4-7,56,125,11,63,0.94,25
2021-4-8,55,126,11,53,0.91,65
2021-4-9,38,92,11,49,0.65,51
2021-4-10,42,89,11,47,0.75,39
2021-4-11,54,106,9,46,0.79,40
2021-4-12,35,113,9,45,0.73,54
2021-4-13,27,103,10,38,0.6,47
2021-4-14,35,73,9,44,0.63,35
2021-4-15,41,132,10,50,0.7,25
2021-4-16,63,244,9,49,0.51,37
2021-4-17,34,133,10,40,0.4,59
2021-4-18,47,133,14,62,0.68,53
2021-4-19,37,112,10,47,0.67,62
2021-4-20,37,57,7,44,0.76,34
2021-4-21,18,29,6,24,0.68,57
2021-4-22,23,43,7,30,0.67,58
2021-4-23,30,50,7,27,0.78,57
2021-4-24,15,22,6,14,0.56,81
2021-4-25,26,33,6,24,0.53,59
2021-4-26,17,33,5,30,0.57,44
2021-4-27,33,133,7,42,0.59,45
2021-4-28,27,104,8,37,0.4,53
2021-4-29,32,111,9,40,0.43,55
2021-4-30,40,138,10,41,0.43,46
2021-5-1,49,193,15,51,0.58,58
2021-5-2,38,128,10,31,0.64,71
2021-5-3,31,55,8,25,0.71,67
2021-5-4,32,140,7,29,0.38,71
2021-5-5,37,119,10,49,0.43,56
2021-5-6,38,114,8,44,0.44,58
2021-5-7,87,365,8,40,0.28,59
2021-5-8,66,226,9,50,0.56,65
2021-5-9,50,143,12,61,0.65,84
2021-5-10,49,129,11,46,0.71,102
2021-5-11,38,120,12,33,0.65,123
2021-5-12,47,120,10,54,0.77,83
2021-5-13,30,73,9,26,0.64,87
2021-5-14,32,72,7,16,0.62,70
2021-5-15,10,31,6,12,0.4,53
2021-5-16,10,30,7,19,0.33,68
2021-5-17,19,50,9,40,0.48,67
2021-5-18,21,62,8,52,0.48,69
